# frequency[Hz] PSA[g]
1.000000000000000021e-02 2.914137724756854243e-05
2.000000000000000042e-02 5.188826221204114169e-04
4.000000000000000083e-02 4.520629907471595231e-03
5.999999999999999778e-02 1.242962385870962153e-02
8.000000000000000167e-02 2.322128067196640652e-02
1.000000000000000056e-01 3.600939626038165281e-02
1.064785977823349272e-01 4.046985003600570008e-02
1.133769178569225822e-01 4.535738365268610073e-02
1.207221523428808757e-01 5.069901635770870246e-02
1.285432550273537533e-01 5.652229493822610168e-02
1.368710554968970428e-01 6.285523096011624844e-02
1.457383806629773959e-01 6.972623637539318575e-02
1.551801841606198773e-01 7.716405759898355143e-02
1.652336841302730619e-01 8.519770801295487028e-02
1.759385099260072083e-01 9.385639869295168969e-02
1.873368583283466227e-01 1.031694669687097110e-01
1.994736598775028180e-01 1.131663022295091442e-01
2.123967559826689944e-01 1.238762681681740557e-01
2.261570875055135266e-01 1.353286204261302805e-01
2.408088955612389948e-01 1.475524183602106021e-01
2.564099353287346283e-01 1.605764294033191486e-01
2.730217037126284607e-01 1.744290242407864067e-01
2.907096817546478418e-01 1.891380607787112034e-01
3.095435927498373374e-01 2.047307546479271434e-01
3.295976770850881921e-01 2.212335337776645816e-01
3.509509848833501366e-01 2.386718743992513603e-01
3.736876876070853726e-01 2.570701157180277363e-01
3.978974098492567002e-01 2.764512504402623638e-01
4.236755826197187713e-01 2.968366883844107407e-01
4.511238195196143885e-01 3.182459905701481850e-01
4.803503172865967730e-01 3.406965714964802494e-01
5.114702822897650991e-01 3.642033678289391396e-01
5.446063846554920485e-01 3.887784724569722794e-01
5.798892418142369554e-01 4.144307339013718616e-01
6.174579333744130150e-01 4.411653223954768444e-01
6.574605493528588029e-01 4.689832656800536070e-01
7.000547739229601163e-01 4.978809596832858286e-01
7.454085069814627706e-01 5.278496618376060656e-01
7.937005259840997917e-01 5.588749778307119387e-01
8.451211906588861345e-01 5.909363560887748168e-01
8.998731933749553047e-01 6.240066081966101352e-01
9.581723581247717503e-01 6.580514776702344193e-01
1.020248491269189595e+00 6.930292838401714839e-01
1.086346287398860522e+00 7.288906718211348723e-01
1.156726293882760714e+00 7.655785032756142749e-01
1.231665937905934705e+00 8.030279254531819122e-01
1.311460620044883063e+00 8.411666572175471313e-01
1.396424878691306271e+00 8.799155297725794744e-01
1.486893629914175063e+00 9.191893158148526366e-01
1.583223487647473782e+00 9.588978731222942420e-01
1.685794169407608400e+00 9.989476164848855033e-01
1.795009993081581712e+00 1.039243314978976152e+00
1.911301470686054937e+00 1.079690189868681482e+00
2.035127005379656406e+00 1.120196262452953562e+00
2.166974698417882372e+00 1.160674872270438529e+00
2.307364273173341918e+00 1.201047256362699045e+00
2.456849123805539215e+00 1.241245052722099507e+00
2.616018496655719616e+00 1.281212569167969217e+00
2.785499812965527955e+00 1.320908646481661952e+00
2.965961142075256962e+00 1.360307945123344187e+00
3.158113834850659885e+00 1.399401500677832200e+00
3.362715327718906355e+00 1.438196425120166655e+00
3.580572128366741325e+00 1.476714677773362627e+00
3.812542994870010915e+00 1.514990888035562033e+00
4.059542320786223790e+00 1.553069276404885235e+00
4.322543739553629472e+00 1.590999784864086219e+00
4.602583962404807494e+00 1.628833586163777936e+00
4.900766864923267185e+00 1.666618188837891701e+00
5.218267838351592580e+00 1.704392387505429429e+00
5.556338422803334787e+00 1.742181324765529782e+00
5.916311240642093239e+00 1.779991932174217695e+00
6.299605249474366175e+00 1.817809005013582890e+00
6.707731335462665534e+00 1.855592140935904855e+00
7.142298269006933431e+00 1.893273738053211197e+00
7.605019046270565575e+00 1.930758205089035950e+00
8.097717641548397793e+00 1.967922485675831057e+00
8.622336197093494192e+00 2.004617941284100091e+00
9.180942678743857499e+00 2.040673573186876588e+00
9.775739027526396896e+00 2.075900494373634331e+00
1.040906983937057539e+01 2.110097489333069287e+00
1.108343160714572839e+01 2.143057425971848673e+00
1.180148256145287711e+01 2.174574213305278558e+00
1.256605314896180481e+01 2.204449935130996963e+00
1.338015718959746891e+01 2.232501737890707272e+00
1.424700375655567086e+01 2.258568014011376857e+00
1.517000982597705772e+01 2.282513402726381369e+00
1.615281374614279386e+01 2.304232129481815772e+00
1.719928957928508950e+01 2.323649220955501971e+00
1.831356237254601282e+01 2.340719161018861350e+00
1.950002441828029731e+01 2.355421586089124109e+00
2.076335256779779215e+01 2.367753645804836715e+00
2.210852666679351586e+01 2.377718664690649852e+00
2.354084918513532187e+01 2.385310721493918873e+00
2.506596611838630295e+01 2.390494710843053650e+00
2.668988924345289604e+01 2.393181378834795314e+00
2.841901981608688033e+01 2.393196775102008012e+00
3.026017380365323461e+01 2.390245644019842519e+00
3.222060875262739899e+01 2.383868694579930114e+00
3.430805239672992712e+01 2.373394811132178095e+00
3.653073311846677029e+01 2.357891690658971307e+00
3.889741238415043512e+01 2.336122958565414631e+00
4.141741928025567177e+01 2.306527455569756579e+00
4.410068728724671416e+01 2.267247498996133981e+00
4.695779343583272691e+01 2.216245819602641998e+00
5.000000000000000000e+01 2.151559032784650771e+00
5.500000000000000000e+01 2.024199680925766298e+00
6.000000000000000000e+01 1.877829556167311287e+00
7.000000000000000000e+01 1.575996763557260483e+00
8.000000000000000000e+01 1.330382067468760754e+00
9.000000000000000000e+01 1.169636020785094432e+00
1.000000000000000000e+02 1.078764437355115069e+00
